7206,7206,TATA_GSM,HR,3289,GSM,Please route Through BTSL (AES),4,,,,AIRCEL AS,AIRCEL,Assam ,AS,UAS,GSM,M,110,,
7250,7250,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),4,,,,AIRCEL BR,AIRCEL,Bihar,BR,UAS,GSM,M,110,,
7259,7259,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),4,,,,AIRCEL DL,AIRCEL,Delhi,DL,UAS,GSM,,110,,
7568,7568,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),4,,,,AIRCEL GJ,AIRCEL,Gujarat,GJ,UAS,GSM,,110,,
7600,7600,AIRTEL,GJ,2728,GSM,Please route Through BTSL (AES),4,,,,AIRCEL HP,AIRCEL,Himachal Pradesh,HP,UAS,GSM,,110,,
7602,7602,AIRTEL,WB,3023,GSM,Please route Through BTSL (AES),4,,,,AIRCEL HR,AIRCEL,Haryana,HR,UAS,GSM,,110,,
7607,7607,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),4,,,,AIRCEL JK,AIRCEL,Jammu & Kashmir,JK,UAS,GSM,,110,,
7702,7702,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),4,,,,AIRCEL KA,AIRCEL,Karnataka,KA,UAS,GSM,M,110,,
7708,7708,AIRTEL,TN,3020,GSM,Please route Through BTSL (AES),4,,,,AIRCEL KL,AIRCEL,Kerala,KL,UAS,GSM,M,110,,
7709,7709,AIRTEL,MH,3006,GSM,Please route Through BTSL (AES),4,,,,AIRCEL KO,AIRCEL,Kolkata,KO,UAS,GSM,M,110,,
7738,7738,AIRTEL,MB,3007,GSM,Please route Through BTSL (AES),4,,,,AIRCEL MH,AIRCEL,Maharashtra,MH,UAS,GSM,,110,,
7739,7739,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),4,,,,AIRCEL MP,AIRCEL,Madhya Pradesh,MP,UAS,GSM,M,110,,
7742,7742,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),4,,,,AIRCEL MU,AIRCEL,Mumbai,MU,UAS,GSM,,110,,
7760,7760,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),4,,,,AIRCEL NE,AIRCEL,North East,NE,UAS,GSM,M,110,,
7869,7869,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),4,,,,AIRCEL OR,AIRCEL,Orissa,OR,UAS,GSM,M,110,,
7876,7876,RELIANCE_GSM,HR,3133,GSM,Please route Through BTSL (AES),4,,,,AIRCEL PB,AIRCEL,Punjab,PB,UAS,GSM,,110,,
7893,7893,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),4,,,,AIRCEL RJ,AIRCEL,Rajasthan,RJ,UAS,GSM,,110,,
7894,7894,AIRTEL,OR,3008,GSM,Please route Through BTSL (AES),4,,,,AIRCEL TN,AIRCEL,Tamilnadu (excluding Chennai Service Area) ,TN,CMTS,GSM,M,110,,
7895,7895,AIRTEL,UW,3022,GSM,Please route Through BTSL (AES),4,,,,AIRCEL UE,AIRCEL,Uttar Pradesh (East),UE,UAS,GSM,,110,,
7896,7896,AIRTEL,AS,2725,GSM,Please route Through BTSL (AES),4,,,,AIRCEL UW,AIRCEL,Uttar Pradesh (West),UW,UAS,GSM,,110,,
7897,7897,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),4,,,,AIRCEL WB,AIRCEL,West Bengal,WB,UAS,GSM,M,110,,
7898,7898,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),4,,,,AIRTEL AP,AIRTEL,Andhra Pradesh,AP,UAS,GSM,M,120,,
8002,8002,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),4,,,,AIRTEL AS,AIRTEL,Assam ,AS,UAS,GSM,M,120,,
8003,8003,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),4,,,,AIRTEL BR,AIRTEL,Bihar,BR,UAS,GSM,M,120,,
8008,8008,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),4,,,,AIRTEL DL,AIRTEL,Delhi,DL,UAS,GSM,,120,,
8009,8009,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),4,,,,AIRTEL GJ,AIRTEL,Gujarat,GJ,UAS,GSM,,120,,
8011,8011,AIRTEL,AS,2725,GSM,Please route Through BTSL (AES),4,,,,AIRTEL HP,AIRTEL,Himachal Pradesh,HP,UAS,GSM,,120,,
8016,8016,AIRTEL,WB,3023,GSM,Please route Through BTSL (AES),4,,,,AIRTEL HR,AIRTEL,Haryana,HR,UAS,GSM,,120,,
8018,8018,AIRTEL,OR,3008,GSM,Please route Through BTSL (AES),4,,,,AIRTEL JK,AIRTEL,Jammu & Kashmir,JK,UAS,GSM,,120,,
8053,8053,VODAFONE,HR,4102,GSM,Please route Through BTSL (AES),4,,,,AIRTEL KA,AIRTEL,Karnataka,KA,UAS,GSM,M,120,,
8056,8056,AIRTEL,TN,3020,GSM,Please route Through BTSL (AES),4,,,,AIRTEL KL,AIRTEL,Kerala,KL,UAS,GSM,M,120,,
8059,8059,IDEA,HR,3068,GSM,Please route Through BTSL (AES),4,,,,AIRTEL KO,AIRTEL,Kolkata,KO,UAS,GSM,M,120,,
8084,8084,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),4,,,,AIRTEL MH,AIRTEL,Maharashtra,MH,UAS,GSM,,120,,
8085,8085,AIRTEL,MP,3005,GSM,Please route Through BTSL (AES),4,,,,AIRTEL MP,AIRTEL,Madhya Pradesh,MP,UAS,GSM,M,120,,
8105,8105,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),4,,,,AIRTEL MU,AIRTEL,Mumbai,MU,UAS,GSM,,120,,
8106,8106,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),4,,,,AIRTEL NE,AIRTEL,North East,NE,CMTS,GSM,M,120,,
8107,8107,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),4,,,,AIRTEL OR,AIRTEL,Orissa,OR,UAS,GSM,M,120,,
8116,8116,Airtel,WB,3023,GSM,Please route Through BTSL (AES),4,,,,AIRTEL PB,AIRTEL,Punjab,PB,UAS,GSM,,120,,
8126,8126,AIRTEL,UW,3022,GSM,Please route Through BTSL (AES),4,,,,AIRTEL RJ,AIRTEL,Rajasthan,RJ,UAS,GSM,,120,,
8127,8127,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),4,,,,AIRTEL TN,AIRTEL,Tamilnadu                                          (including Chennai Service Area) ,TN,UAS,GSM,M,120,,
8128,8128,AIRTEL,GJ,2728,GSM,Please route Through BTSL (AES),4,,,,AIRTEL UE,AIRTEL,Uttar Pradesh (East),UE,UAS,GSM,,120,,
8130,8130,Airtel,DL,2727,GSM,Please route Through BTSL (AES),4,,,,AIRTEL UW,AIRTEL,Uttar Pradesh (West),UW,UAS,GSM,,120,,
8146,8146,AIRTEL,PB,3009,GSM,Please route Through BTSL (AES),4,,,,AIRTEL WB,AIRTEL,West Bengal,WB,UAS,GSM,M,120,,
